ride_id,timestamp,hour,day,weekday,month,is_weekend,zone_id,weather,traffic_level,event_flag,distance_km,duration_min,fare_usd,surge_multiplier,wait_time_min,driver_earnings_usd,cancelled,demand_score,efficiency,peak_hour,congestion_index,cancellation_risk,zone_demand_density,driver_opportunity_score
25880,2023-01-01 00:24:33,0,1,6,1,1,Z07,Fog,Medium,0,3.97,18.2,13.22,1.0,5.9,10.12,0,0.1,3.33,0,0.408,0.05,0.048,0.172
45419,2023-01-01 00:24:34,0,1,6,1,1,Z13,Clear,Low,0,5.11,18.5,38.59,1.0,3.7,28.8,0,0.243,7.552,0,0.21,0.05,0.102,1.891
36965,2023-01-01 00:27:36,0,1,6,1,1,Z01,Clear,Medium,0,7.72,32.7,30.36,1.0,2.1,24.18,0,0.213,3.933,0,0.434,0.05,0.133,2.453
4661,2023-01-01 00:28:48,0,1,6,1,1,Z11,Clear,Medium,0,1.8,4.6,10.31,1.0,9.0,7.82,1,0.149,5.728,0,0.419,0.05,0.132,0.129
8615,2023-01-01 00:32:33,0,1,6,1,1,Z06,Clear,Medium,0,8.55,42.3,9.91,1.0,4.7,7.38,0,0.1,1.159,0,0.408,0.05,0.04,0.157
4705,2023-01-01 00:33:30,0,1,6,1,1,Z09,Rainy,Medium,0,7.87,34.5,8.86,1.0,4.7,6.76,0,0.388,1.126,0,0.474,0.13,0.293,0.558
39865,2023-01-01 00:40:17,0,1,6,1,1,Z03,Clear,Medium,0,9.66,43.5,26.67,1.0,3.7,19.36,0,0.331,2.761,0,0.461,0.05,0.304,1.732
49075,2023-01-01 01:00:52,1,1,6,1,1,Z20,Clear,Low,0,0.97,2.0,7.67,1.0,3.1,5.54,0,0.323,7.907,0,0.228,0.05,0.187,0.577
16917,2023-01-01 01:34:50,1,1,6,1,1,Z20,Rainy,Low,0,0.5,2.0,3.0,1.0,3.8,2.36,1,0.227,6.0,0,0.206,0.13,0.131,0.141
982,2023-01-01 01:43:05,1,1,6,1,1,Z05,Cloudy,Medium,0,2.79,13.7,6.94,1.0,4.9,5.15,0,0.1,2.487,0,0.408,0.05,0.051,0.105
2012,2023-01-01 02:18:03,2,1,6,1,1,Z11,Clear,High,0,2.23,14.6,16.61,1.0,6.4,12.71,0,0.408,7.448,0,0.786,0.05,0.361,0.81
13988,2023-01-01 02:19:43,2,1,6,1,1,Z05,Cloudy,Medium,0,4.52,18.6,11.9,1.0,1.0,9.33,0,0.224,2.633,0,0.436,0.05,0.114,2.09
47407,2023-01-01 02:40:10,2,1,6,1,1,Z13,Clear,Medium,0,7.78,35.8,59.75,1.0,3.8,46.48,0,0.1,7.68,0,0.408,0.05,0.042,1.223
4906,2023-01-01 03:00:14,3,1,6,1,1,Z10,Cloudy,High,0,8.92,56.0,8.56,1.0,6.4,6.56,0,0.213,0.96,0,0.741,0.05,0.143,0.218
